"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pone.0002349",06/11/08,2008,"PLoS ONE","RA","Tune Deafness: Processing Melodic Errors Outside of Conscious Awareness as Reflected by Components of the Auditory ERP",1,0,0
"10.1371/journal.pone.0002350",07/16/08,2008,"PLoS ONE","RA","Elevated Stress-Hemoconcentration in Major Depression Is Normalized by Antidepressant Treatment: Secondary Analysis from a Randomized, Double-Blind Clinical Trial and Relevance to Cardiovascular Disease Risk",1,0,0
"10.1371/journal.pone.0002351",06/11/08,2008,"PLoS ONE","RA","Laboratory Evolution of Fast-Folding Green Fluorescent Protein Using Secretory Pathway Quality Control",0,0,0
"10.1371/journal.pone.0002352",06/04/08,2008,"PLoS ONE","RA","Agrobacterium tumefaciens-Induced Bacteraemia Does Not Lead to Reporter Gene Expression in Mouse Organs",0,0,0
"10.1371/journal.pone.0002353",06/04/08,2008,"PLoS ONE","RA","Adenosine Transporter ENT4 Is a Direct Target of EWS/WT1 Translocation Product and Is Highly Expressed in Desmoplastic Small Round Cell Tumor",0,0,1
"10.1371/journal.pone.0002354",06/11/08,2008,"PLoS ONE","RA","Identification of a Novel Chromosomal Passenger Complex and Its Unique Localization during Cytokinesis in Trypanosoma brucei",1,3,3
"10.1371/journal.pone.0002355",06/04/08,2008,"PLoS ONE","RA","Inhibition of p38 MAPK Suppresses Inflammatory Cytokine Induction by Etoposide, 5-Fluorouracil, and Doxorubicin without Affecting Tumoricidal Activity",0,0,1
"10.1371/journal.pone.0002356",06/04/08,2008,"PLoS ONE","RA","Quantitative Effect of Suboptimal Codon Usage on Translational Efficiency of mRNA Encoding HIV-1 gag in Intact T Cells",0,0,0
"10.1371/journal.pone.0002357",06/04/08,2008,"PLoS ONE","RA","Promiscuous Expression of H2B-GFP Transgene in Hematopoietic Stem Cells",0,0,1
"10.1371/journal.pone.0002358",06/04/08,2008,"PLoS ONE","RA","Factors Associated with Induced Abortion in Women Prostitutes in Asturias (Spain)",0,0,0
"10.1371/journal.pone.0002359",06/04/08,2008,"PLoS ONE","RA","High-Resolution 3D Structure Determination of Kaliotoxin by Solid-State NMR Spectroscopy",1,1,4
"10.1371/journal.pone.0002360",06/04/08,2008,"PLoS ONE","RA","The Genomic Analysis of Erythrocyte microRNA Expression in Sickle Cell Diseases",1,3,2
"10.1371/journal.pone.0002361",06/04/08,2008,"PLoS ONE","RA","NS1 Specific CD8+ T-Cells with Effector Function and TRBV11 Dominance in a Patient with Parvovirus B19 Associated Inflammatory Cardiomyopathy",0,0,2
"10.1371/journal.pone.0002362",06/04/08,2008,"PLoS ONE","RA","Impact of Emerging Antiviral Drug Resistance on Influenza Containment and Spread: Influence of Subclinical Infection and Strategic Use of a Stockpile Containing One or Two Drugs",2,4,4
"10.1371/journal.pone.0002363",06/04/08,2008,"PLoS ONE","RA","Are Survey-Based Estimates of the Burden of Drug Resistant TB Too Low? Insight from a Simulation Study",0,1,3
"10.1371/journal.pone.0002364",05/28/08,2008,"PLoS ONE","RA","Structural Dynamic of a Self-Assembling Peptide d-EAK16 Made of Only D-Amino Acids",1,0,3
"10.1371/journal.pone.0002365",06/04/08,2008,"PLoS ONE","RA","East Learns from West: Asiatic Honeybees Can Understand Dance Language of European Honeybees",1,0,2
"10.1371/journal.pone.0002366",06/04/08,2008,"PLoS ONE","RA","Genesis of Neuronal and Glial Progenitors in the Cerebellar Cortex of Peripuberal and Adult Rabbits",2,0,4
"10.1371/journal.pone.0002367",06/04/08,2008,"PLoS ONE","RA","Introducing Spatial Information into Predictive NF-?B Modelling ? An Agent-Based Approach",1,0,0
"10.1371/journal.pone.0002368",06/04/08,2008,"PLoS ONE","RA","Liposomal Co-Entrapment of CD40mAb Induces Enhanced IgG Responses against Bacterial Polysaccharide and Protein",0,0,0
"10.1371/journal.pone.0002369",06/04/08,2008,"PLoS ONE","RA","Salmonella Type III Effector AvrA Stabilizes Cell Tight Junctions to Inhibit Inflammation in Intestinal Epithelial Cells",0,1,3
"10.1371/journal.pone.0002370",06/04/08,2008,"PLoS ONE","RA","Moderate Alcohol Use and Mortality from Ischaemic Heart Disease: A Prospective Study in Older Chinese People",1,1,2
"10.1371/journal.pone.0002371",06/11/08,2008,"PLoS ONE","RA","Antibody Complementarity-Determining Regions (CDRs) Can Display Differential Antimicrobial, Antiviral and Antitumor Activities",1,0,1
"10.1371/journal.pone.0002372",06/04/08,2008,"PLoS ONE","RA","Bimodal and Hysteretic Expression in Mammalian Cells from a Synthetic Gene Circuit",2,1,3
"10.1371/journal.pone.0002373",06/11/08,2008,"PLoS ONE","RA","Fibronectin Unfolding Revisited: Modeling Cell Traction-Mediated Unfolding of the Tenth Type-III Repeat",1,0,0
"10.1371/journal.pone.0002374",06/11/08,2008,"PLoS ONE","RA","Effects of Experimental Brood Size Manipulation and Gender on Carotenoid Levels of Eurasian Kestrels Falco tinnunculus",2,0,0
"10.1371/journal.pone.0002375",06/11/08,2008,"PLoS ONE","RA","Genetic Basis of Virulence Attenuation Revealed by Comparative Genomic Analysis of Mycobacterium tuberculosis Strain H37Ra versus H37Rv",2,0,5
"10.1371/journal.pone.0002376",06/11/08,2008,"PLoS ONE","RA","Intestinal Colonization of IL-2 Deficient Mice with Non-Colitogenic B. vulgatus Prevents DC Maturation and T-Cell Polarization",0,0,0
"10.1371/journal.pone.0002377",06/18/08,2008,"PLoS ONE","RA","Alternative Promoters Influence Alternative Splicing at the Genomic Level",1,1,1
"10.1371/journal.pone.0002378",06/11/08,2008,"PLoS ONE","RA","Are There Better Methods of Monitoring MRSA Control than Bacteraemia Surveillance? An Observational Database Study",0,0,1
"10.1371/journal.pone.0002379",06/11/08,2008,"PLoS ONE","RA","Tumor Cell Phenotype Is Sustained by Selective MAPK Oxidation in Mitochondria",0,1,1
"10.1371/journal.pone.0002380",06/11/08,2008,"PLoS ONE","RA","Enhanced Temporal but Not Attentional Processing in Expert Tennis Players",2,0,2
"10.1371/journal.pone.0002381",06/11/08,2008,"PLoS ONE","RA","Odorranalectin Is a Small Peptide Lectin with Potential for Drug Delivery and Targeting",0,0,1
"10.1371/journal.pone.0002382",06/18/08,2008,"PLoS ONE","RA","A Microfluidic Chamber for Analysis of Neuron-to-Cell Spread and Axonal Transport of an Alpha-Herpesvirus",0,1,0
"10.1371/journal.pone.0002383",06/11/08,2008,"PLoS ONE","RA","Protein Expression in the Nucleus Accumbens of Rats Exposed to Developmental Vitamin D Deficiency",0,0,0
"10.1371/journal.pone.0002384",06/11/08,2008,"PLoS ONE","RA","Allogeneic Lymphocytes Persist and Traffic in Feral MHC-Matched Mauritian Cynomolgus Macaques",0,0,0
"10.1371/journal.pone.0002385",06/11/08,2008,"PLoS ONE","RA","Pattern of the Divergence of Olfactory Receptor Genes during Tetrapod Evolution",1,0,1
"10.1371/journal.pone.0002386",06/11/08,2008,"PLoS ONE","RA","Deciphering the Ubiquitin-Mediated Pathway in Apicomplexan Parasites: A Potential Strategy to Interfere with Parasite Virulence",0,1,2
"10.1371/journal.pone.0002387",06/11/08,2008,"PLoS ONE","RA","New Molecular Reporters for Rapid Protein Folding Assays",0,0,0
"10.1371/journal.pone.0002388",06/11/08,2008,"PLoS ONE","RA","Live Imaging at the Onset of Cortical Neurogenesis Reveals Differential Appearance of the Neuronal Phenotype in Apical versus Basal Progenitor Progeny",6,0,9
"10.1371/journal.pone.0002389",06/11/08,2008,"PLoS ONE","RA","Young Infants' Neural Processing of Objects Is Affected by Eye Gaze Direction and Emotional Expression",3,0,4
"10.1371/journal.pone.0002390",06/11/08,2008,"PLoS ONE","RA","Artemether-Lumefantrine versus Dihydroartemisinin-Piperaquine for Treating Uncomplicated Malaria: A Randomized Trial to Guide Policy in Uganda",1,3,5
"10.1371/journal.pone.0002391",06/11/08,2008,"PLoS ONE","RA","Serum Alpha-Fetoprotein Predicts Treatment Outcome in Chronic Hepatitis C Patients Regardless of HCV Genotype",0,0,0
"10.1371/journal.pone.0002392",06/11/08,2008,"PLoS ONE","RA","Identifying Alternative Hyper-Splicing Signatures in MG-Thymoma by Exon Arrays",0,1,3
"10.1371/journal.pone.0002393",06/18/08,2008,"PLoS ONE","RA","Coral Pathogens Identified for White Syndrome (WS) Epizootics in the Indo-Pacific",1,1,4
"10.1371/journal.pone.0002394",06/11/08,2008,"PLoS ONE","RA","Protein Translation and Cell Death: The Role of Rare tRNAs in Biofilm Formation and in Activating Dormant Phage Killer Genes",2,0,4
"10.1371/journal.pone.0002395",06/11/08,2008,"PLoS ONE","RA","Continued Neurogenesis in Adult Drosophila as a Mechanism for Recruiting Environmental Cue-Dependent Variants",0,0,0
"10.1371/journal.pone.0002396",06/11/08,2008,"PLoS ONE","RA","Non-Syndromic Tooth Agenesis in Two Chinese Families Associated with Novel Missense Mutations in the TNF Domain of EDA (Ectodysplasin A)",3,1,1
"10.1371/journal.pone.0002397",06/11/08,2008,"PLoS ONE","RA","Virus Adaptation by Manipulation of Host's Gene Expression",0,0,0
"10.1371/journal.pone.0002398",06/11/08,2008,"PLoS ONE","RA","Conserved and Differential Effects of Dietary Energy Intake on the Hippocampal Transcriptomes of Females and Males",1,1,1
"10.1371/journal.pone.0002399",06/11/08,2008,"PLoS ONE","RA","MemBrain: Improving the Accuracy of Predicting Transmembrane Helices",1,2,4
"10.1371/journal.pone.0002400",06/11/08,2008,"PLoS ONE","RA","Meta-Analysis of the Effects of Predation on Animal Prey Abundance: Evidence from UK Vertebrates",1,0,1
"10.1371/journal.pone.0002401",06/11/08,2008,"PLoS ONE","RA","Foxc Transcription Factors Directly Regulate Dll4 and Hey2 Expression by Interacting with the VEGF-Notch Signaling Pathways in Endothelial Cells",4,0,8
"10.1371/journal.pone.0002402",06/11/08,2008,"PLoS ONE","RA","A Detailed Analysis of the Murine TAP Transporter Substrate Specificity",2,1,2
"10.1371/journal.pone.0002403",06/11/08,2008,"PLoS ONE","RA","Model for the Peptide-Free Conformation of Class II MHC Proteins",0,0,0
"10.1371/journal.pone.0002404",06/11/08,2008,"PLoS ONE","RA","An IFN-?-IL-18 Signaling Loop Accelerates Memory CD8+ T Cell Proliferation",0,1,0
"10.1371/journal.pone.0002405",06/11/08,2008,"PLoS ONE","RA","A Plasmodium falciparum Host-Targeting Motif Functions in Export during Blood Stage Infection of the Rodent Malarial Parasite Plasmodium berghei",1,0,1
"10.1371/journal.pone.0002406",06/11/08,2008,"PLoS ONE","RA","An Analysis of News Media Coverage of Complementary and Alternative Medicine",0,0,2
"10.1371/journal.pone.0002407",06/11/08,2008,"PLoS ONE","RA","Gremlin Enhances the Determined Path to Cardiomyogenesis",0,0,1
"10.1371/journal.pone.0002408",06/11/08,2008,"PLoS ONE","RA","Disturbance of Social Hierarchy by an Invasive Species: A Gene Transcription Study",1,0,1
"10.1371/journal.pone.0002409",06/18/08,2008,"PLoS ONE","RA","Directed Evolution Generates a Novel Oncolytic Virus for the Treatment of Colon Cancer",2,0,1
"10.1371/journal.pone.0002410",06/11/08,2008,"PLoS ONE","RA","A Polyadenylation Factor Subunit Implicated in Regulating Oxidative Signaling in Arabidopsis thaliana",1,2,3
"10.1371/journal.pone.0002411",06/11/08,2008,"PLoS ONE","RA","Patterns of Polymorphism and Demographic History in Natural Populations of Arabidopsis lyrata",7,1,3
"10.1371/journal.pone.0002412",06/11/08,2008,"PLoS ONE","RA","Fibroblast and Lymphoblast Gene Expression Profiles in Schizophrenia: Are Non-Neural Cells Informative?",0,1,0
"10.1371/journal.pone.0002413",06/11/08,2008,"PLoS ONE","RA","HIV-1 Pre-Integration Complexes Selectively Target Decondensed Chromatin in the Nuclear Periphery",1,0,4
"10.1371/journal.pone.0002414",06/11/08,2008,"PLoS ONE","RA","Preference Transitivity and Symbolic Representation in Capuchin Monkeys (Cebus apella)",3,0,0
"10.1371/journal.pone.0002415",06/11/08,2008,"PLoS ONE","RA","Chromosomal Instability by Inefficient Mps1 Auto-Activation Due to a Weakened Mitotic Checkpoint and Lagging Chromosomes",0,1,1
"10.1371/journal.pone.0002416",06/11/08,2008,"PLoS ONE","RA","Dynamics of Dynamin during Clathrin Mediated Endocytosis in PC12 Cells",0,0,1
"10.1371/journal.pone.0002417",06/18/08,2008,"PLoS ONE","RA","Risk and Ethical Concerns of Hunting Male Elephant: Behavioural and Physiological Assays of the Remaining Elephants",2,0,3
"10.1371/journal.pone.0002418",06/11/08,2008,"PLoS ONE","RA","Genetic Modifier Screens Reveal New Components that Interact with the Drosophila Dystroglycan-Dystrophin Complex",0,2,2
"10.1371/journal.pone.0002419",06/11/08,2008,"PLoS ONE","RA","Skeletal Muscle-Specific Ablation of ?cyto-Actin Does Not Exacerbate the mdx Phenotype",2,0,1
"10.1371/journal.pone.0002420",06/18/08,2008,"PLoS ONE","RA","MicroRNA miR-328 Regulates Zonation Morphogenesis by Targeting CD44 Expression",2,2,4
"10.1371/journal.pone.0002421",06/11/08,2008,"PLoS ONE","RA","Mitochondrial DNA Haplogroup D4a Is a Marker for Extreme Longevity in Japan",1,2,3
"10.1371/journal.pone.0002422",06/18/08,2008,"PLoS ONE","RA","Molecular Evolution of Human Immunodeficiency Virus Type 1 upon Transmission between Human Leukocyte Antigen Disparate Donor-Recipient Pairs",0,2,4
"10.1371/journal.pone.0002423",06/18/08,2008,"PLoS ONE","RA","Falls, Depression and Antidepressants in Later Life: A Large Primary Care Appraisal",0,0,1
"10.1371/journal.pone.0002424",06/18/08,2008,"PLoS ONE","RA","Cytosolic Sequestration of Prep1 Influences Early Stages of T Cell Development",1,0,0
"10.1371/journal.pone.0002425",06/18/08,2008,"PLoS ONE","RA","Proteomic Analysis of Ovarian Cancer Cells Reveals Dynamic Processes of Protein Secretion and Shedding of Extra-Cellular Domains",2,1,2
"10.1371/journal.pone.0002426",06/11/08,2008,"PLoS ONE","RA","In Vivo-to-In Silico Iterations to Investigate Aeroallergen-Host Interactions",0,0,0
"10.1371/journal.pone.0002427",06/18/08,2008,"PLoS ONE","RA","HyperISGylation of Old World Monkey ISG15 in Human Cells",0,0,2
"10.1371/journal.pone.0002428",06/18/08,2008,"PLoS ONE","RA","Colorectal Cancer Stem Cells Are Enriched in Xenogeneic Tumors Following Chemotherapy",10,0,14
"10.1371/journal.pone.0002429",06/18/08,2008,"PLoS ONE","RA","From Offshore to Onshore: Multiple Origins of Shallow-Water Corals from Deep-Sea Ancestors",3,0,2
"10.1371/journal.pone.0002430",06/18/08,2008,"PLoS ONE","RA","Identification of the bHLH Factor Math6 as a Novel Component of the Embryonic Pancreas Transcriptional Network",0,0,0
"10.1371/journal.pone.0002431",06/18/08,2008,"PLoS ONE","RA","Female Chimpanzees Use Copulation Calls Flexibly to Prevent Social Competition",0,0,1
"10.1371/journal.pone.0002432",06/18/08,2008,"PLoS ONE","RA","Multivalent HA DNA Vaccination Protects against Highly Pathogenic H5N1 Avian Influenza Infection in Chickens and Mice",0,0,1
"10.1371/journal.pone.0002433",06/18/08,2008,"PLoS ONE","RA","Multispacer Sequence Typing for Mycobacterium tuberculosis Genotyping",0,1,2
"10.1371/journal.pone.0002434",06/18/08,2008,"PLoS ONE","RA","Barnase as a New Therapeutic Agent Triggering Apoptosis in Human Cancer Cells",1,0,1
"10.1371/journal.pone.0002435",06/18/08,2008,"PLoS ONE","RA","Cellular Islet Autoimmunity Associates with Clinical Outcome of Islet Cell Transplantation",7,0,8
"10.1371/journal.pone.0002436",06/18/08,2008,"PLoS ONE","RA","MicroRNA Expression and Identification of Putative miRNA Targets in Ovarian Cancer",1,5,3
"10.1371/journal.pone.0002437",06/18/08,2008,"PLoS ONE","RA","Genomic Content of Bordetella pertussis Clinical Isolates Circulating in Areas of Intensive Children Vaccination",0,0,2
"10.1371/journal.pone.0002438",06/18/08,2008,"PLoS ONE","RA","Immunogenecity of Modified Alkane Polymers Is Mediated through TLR1/2 Activation",0,0,0
"10.1371/journal.pone.0002439",06/18/08,2008,"PLoS ONE","RA","Functional Annotation and Identification of Candidate Disease Genes by Computational Analysis of Normal Tissue Gene Expression Data",0,0,0
"10.1371/journal.pone.0002440",06/18/08,2008,"PLoS ONE","RA","The Price of Play: Self-Organized Infant Mortality Cycles in Chimpanzees",1,0,0
"10.1371/journal.pone.0002441",06/18/08,2008,"PLoS ONE","RA","Shifting Global Invasive Potential of European Plants with Climate Change",0,0,0
"10.1371/journal.pone.0002442",06/18/08,2008,"PLoS ONE","RA","Estimation of Isolation Times of the Island Species in the Drosophila simulans Complex from Multilocus DNA Sequence Data",1,2,0
"10.1371/journal.pone.0002443",06/18/08,2008,"PLoS ONE","RA","Risk Compensation Is Not Associated with Male Circumcision in Kisumu, Kenya: A Multi-Faceted?Assessment?of Men Enrolled in a Randomized Controlled Trial",5,0,7
"10.1371/journal.pone.0002444",06/18/08,2008,"PLoS ONE","RA","Computational Systems Analysis of Dopamine Metabolism",0,0,1
"10.1371/journal.pone.0002445",06/18/08,2008,"PLoS ONE","RA","HDAC Inhibitors Act with 5-aza-2?-Deoxycytidine to Inhibit Cell Proliferation by Suppressing Removal of Incorporated Abases in Lung Cancer Cells",3,1,5
"10.1371/journal.pone.0002446",06/18/08,2008,"PLoS ONE","RA","Group B Streptococcal ?-Hemolysin/Cytolysin Directly Impairs Cardiomyocyte Viability and Function",1,1,3
"10.1371/journal.pone.0002447",06/18/08,2008,"PLoS ONE","RA","A Simplified GIS Approach to Modeling Global Leaf Water Isoscapes",0,0,0
"10.1371/journal.pone.0002448",06/18/08,2008,"PLoS ONE","RA","Replication of Association between ADAM33 Polymorphisms and Psoriasis",2,1,1
"10.1371/journal.pone.0002449",06/18/08,2008,"PLoS ONE","RA","Complex Cooperative Networks from Evolutionary Preferential Attachment",7,0,6
"10.1371/journal.pone.0002450",06/11/08,2008,"PLoS ONE","RA","TDP-43 Is Not a Common Cause of Sporadic Amyotrophic Lateral Sclerosis",7,0,8
"10.1371/journal.pone.0002451",06/11/08,2008,"PLoS ONE","RA","Inducible Ablation of Melanopsin-Expressing Retinal Ganglion Cells Reveals Their Central Role in Non-Image Forming Visual Responses",5,3,3
"10.1371/journal.pone.0002452",06/18/08,2008,"PLoS ONE","RA","Divergent Pathways in COS-7 Cells Mediate Defective Internalization and Intracellular Routing of Truncated G-CSFR Forms in SCN/AML",0,0,0
"10.1371/journal.pone.0002453",06/11/08,2008,"PLoS ONE","RA","Cohesin Interaction with Centromeric Minichromosomes Shows a Multi-Complex Rod-Shaped Structure",2,2,2
"10.1371/journal.pone.0002454",06/18/08,2008,"PLoS ONE","RA","Scaling-Up Exclusive Breastfeeding Support Programmes: The Example of KwaZulu-Natal",1,0,0
"10.1371/journal.pone.0002455",06/18/08,2008,"PLoS ONE","RA","PINK1 Is Necessary for Long Term Survival and Mitochondrial Function in Human Dopaminergic Neurons",7,7,13
"10.1371/journal.pone.0002456",06/18/08,2008,"PLoS ONE","RA","Critical Dynamics in Genetic Regulatory Networks: Examples from Four Kingdoms",2,3,5
"10.1371/journal.pone.0002457",08/21/08,2008,"PLoS ONE","RA","The Early ANTP Gene Repertoire: Insights from the Placozoan Genome",1,2,1
"10.1371/journal.pone.0002458",06/18/08,2008,"PLoS ONE","RA","Critical Involvement of the ATM-Dependent DNA Damage Response in the Apoptotic Demise of HIV-1-Elicited Syncytia",3,0,7
"10.1371/journal.pone.0002459",06/18/08,2008,"PLoS ONE","RA","Knockdown of Cytosolic Glutaredoxin 1 Leads to Loss of Mitochondrial Membrane Potential: Implication in Neurodegenerative Diseases",0,0,0
"10.1371/journal.pone.0002460",06/18/08,2008,"PLoS ONE","RA","Perinatal Androgens and Adult Behavior Vary with Nestling Social System in Siblicidal Boobies",0,0,0
"10.1371/journal.pone.0002461",06/18/08,2008,"PLoS ONE","RA","Exosomes Derived from M. Bovis BCG Infected Macrophages Activate Antigen-Specific CD4+ and CD8+ T Cells In Vitro and In Vivo",3,0,1
"10.1371/journal.pone.0002462",06/18/08,2008,"PLoS ONE","RA","Free Brick1 Is a Trimeric Precursor in the Assembly of a Functional Wave Complex",2,0,2
"10.1371/journal.pone.0002463",06/18/08,2008,"PLoS ONE","RA","Maximum Host Survival at Intermediate Parasite Infection Intensities",1,0,2
"10.1371/journal.pone.0002464",06/18/08,2008,"PLoS ONE","RA","Body Segment Differences in Surface Area, Skin Temperature and 3D Displacement and the Estimation of Heat Balance during Locomotion in Hominins",0,0,0
"10.1371/journal.pone.0002465",06/18/08,2008,"PLoS ONE","RA","The Many Faces of Fear: Comparing the Pathways and Impacts of Nonconsumptive Predator Effects on Prey Populations",2,0,2
"10.1371/journal.pone.0002466",06/18/08,2008,"PLoS ONE","RA","Pioglitazone Enhances Mitochondrial Biogenesis and Ribosomal Protein Biosynthesis in Skeletal Muscle in Polycystic Ovary Syndrome",1,0,2
"10.1371/journal.pone.0002467",06/18/08,2008,"PLoS ONE","RA","Ammonium-Acetate Is Sensed by Gustatory and Olfactory Neurons in Caenorhabditis elegans",0,0,1
"10.1371/journal.pone.0002468",06/25/08,2008,"PLoS ONE","RA","Consequences of Cold-Ischemia Time on Primary Nonfunction and Patient and Graft Survival in Liver Transplantation: A Meta-Analysis",1,0,0
"10.1371/journal.pone.0002469",06/25/08,2008,"PLoS ONE","RA","A Unique Carrier for Delivery of Therapeutic Compounds beyond the Blood-Brain Barrier",0,0,1
"10.1371/journal.pone.0002470",06/25/08,2008,"PLoS ONE","RA","TSP-1 Secreted by Bone Marrow Stromal Cells Contributes to Retinal Ganglion Cell Neurite Outgrowth and Survival",1,0,1
"10.1371/journal.pone.0002471",06/18/08,2008,"PLoS ONE","RA","Binding of sFRP-3 to EGF in the Extra-Cellular Space Affects Proliferation, Differentiation and Morphogenetic Events Regulated by the Two Molecules",0,0,0
"10.1371/journal.pone.0002472",06/25/08,2008,"PLoS ONE","RA","Novel Peptide Marker Corresponding to Salivary Protein gSG6 Potentially Identifies Exposure to Anopheles Bites",0,1,3
"10.1371/journal.pone.0002473",06/25/08,2008,"PLoS ONE","RA","Epilepsy in Dcx Knockout Mice Associated with Discrete Lamination Defects and Enhanced Excitability in the Hippocampus",4,1,4
"10.1371/journal.pone.0002474",06/25/08,2008,"PLoS ONE","RA","Depletion of Plasmodium berghei Plasmoredoxin Reveals a Non-Essential Role for Life Cycle Progression of the Malaria Parasite",0,2,0
"10.1371/journal.pone.0002475",06/25/08,2008,"PLoS ONE","RA","The WSB1 Gene Is Involved in Pancreatic Cancer Progression",0,0,0
"10.1371/journal.pone.0002476",06/25/08,2008,"PLoS ONE","RA","Butyrate Transcriptionally Enhances Peptide Transporter PepT1 Expression and Activity",0,0,0
"10.1371/journal.pone.0002477",06/18/08,2008,"PLoS ONE","RA","UDP-N-Acetylglucosamine 2-Epimerase/N-Acetylmannosamine Kinase (GNE) Binds to Alpha-Actinin 1: Novel Pathways in Skeletal Muscle?",1,0,2
"10.1371/journal.pone.0002478",06/25/08,2008,"PLoS ONE","RA","B-MYB Is Essential for Normal Cell Cycle Progression and Chromosomal Stability of Embryonic Stem Cells",2,1,4
"10.1371/journal.pone.0002479",06/25/08,2008,"PLoS ONE","RA","Dopamine Agonist Increases Risk Taking but Blunts Reward-Related Brain Activity",3,1,1
"10.1371/journal.pone.0002480",06/18/08,2008,"PLoS ONE","RA","Evaluating the Potential Effectiveness of Compensatory Mitigation Strategies for Marine Bycatch",1,1,3
"10.1371/journal.pone.0002481",06/25/08,2008,"PLoS ONE","RA","The Role of Superior Temporal Cortex in Auditory Timing",3,0,2
"10.1371/journal.pone.0002482",06/25/08,2008,"PLoS ONE","RA","A Regulatory Role for NBS1 in Strand-Specific Mutagenesis during Somatic Hypermutation",0,1,3
"10.1371/journal.pone.0002483",06/25/08,2008,"PLoS ONE","RA","Cortical Plasticity Induced by Transcranial Magnetic Stimulation during Wakefulness Affects Electroencephalogram Activity during Sleep",2,1,5
"10.1371/journal.pone.0002484",06/25/08,2008,"PLoS ONE","RA","Genome-Wide Compensatory Changes Accompany Drug- Selected Mutations in the Plasmodium falciparum crt Gene",2,4,5
"10.1371/journal.pone.0002485",06/18/08,2008,"PLoS ONE","RA","Motor Adaptation Scaled by the Difficulty of a Secondary Cognitive Task",0,0,0
"10.1371/journal.pone.0002486",07/02/08,2008,"PLoS ONE","RA","Targeted Disruption of the PME-1 Gene Causes Loss of Demethylated PP2A and Perinatal Lethality in Mice",1,0,2
"10.1371/journal.pone.0002487",06/25/08,2008,"PLoS ONE","RA","A Francisella tularensis Schu S4 Purine Auxotroph Is Highly Attenuated in Mice but Offers Limited Protection against Homologous Intranasal Challenge",1,1,6
"10.1371/journal.pone.0002488",06/25/08,2008,"PLoS ONE","RA","Increased Avian Diversity Is Associated with Lower Incidence of Human West Nile Infection: Observation of the Dilution Effect",2,0,3
"10.1371/journal.pone.0002489",06/18/08,2008,"PLoS ONE","RA","The Effects of HIV on the Sensitivity of a Whole Blood IFN-? Release Assay in Zambian Adults with Active Tuberculosis",3,2,7
"10.1371/journal.pone.0002490",06/18/08,2008,"PLoS ONE","RA","Identifying Canadian Freshwater Fishes through DNA Barcodes",5,0,10
"10.1371/journal.pone.0002491",06/18/08,2008,"PLoS ONE","RA","The Histidine Kinase AHK5 Integrates Endogenous and Environmental Signals in Arabidopsis Guard Cells",1,2,5
"10.1371/journal.pone.0002492",06/25/08,2008,"PLoS ONE","RA","Germline Mutation in RNASEL Predicts Increased Risk of Head and Neck, Uterine Cervix and Breast Cancer",0,0,0
"10.1371/journal.pone.0002493",06/18/08,2008,"PLoS ONE","RA","Hepatotoxin-Induced Changes in the Adult Murine Liver Promote MYC-Induced Tumorigenesis",0,0,0
"10.1371/journal.pone.0002494",06/25/08,2008,"PLoS ONE","RA","Human Umbilical Cord Blood Treatment in a Mouse Model of ALS: Optimization of Cell Dose",1,0,1
"10.1371/journal.pone.0002495",06/25/08,2008,"PLoS ONE","RA","Role of X11 and ubiquilin as In Vivo Regulators of the Amyloid Precursor Protein in Drosophila",1,1,1
"10.1371/journal.pone.0002496",06/25/08,2008,"PLoS ONE","RA","On the Action of Cyclosporine A, Rapamycin and Tacrolimus on M. avium Including Subspecies paratuberculosis",1,2,1
"10.1371/journal.pone.0002497",06/18/08,2008,"PLoS ONE","RA","Formin 1-Isoform IV Deficient Cells Exhibit Defects in Cell Spreading and Focal Adhesion Formation",1,0,1
"10.1371/journal.pone.0002498",06/25/08,2008,"PLoS ONE","RA","Derivation of Chondrogenically-Committed Cells from Human Embryonic Cells for Cartilage Tissue Regeneration",2,1,2
"10.1371/journal.pone.0002499",06/25/08,2008,"PLoS ONE","RA","Effects of Ferumoxides ? Protamine Sulfate Labeling on Immunomodulatory Characteristics of Macrophage-like THP-1 Cells",0,0,1
"10.1371/journal.pone.0002500",06/18/08,2008,"PLoS ONE","RA","Optimal Probe Length Varies for Targets with High Sequence Variation: Implications for Probe Library Design for Resequencing Highly Variable Genes",1,0,1
"10.1371/journal.pone.0002501",06/25/08,2008,"PLoS ONE","RA","Overexpression of the Mitochondrial T3 Receptor p43 Induces a Shift in Skeletal Muscle Fiber Types",0,1,2
"10.1371/journal.pone.0002502",06/25/08,2008,"PLoS ONE","RA","Climate Change and the Future of California's Endemic Flora",6,3,3
"10.1371/journal.pone.0002503",06/18/08,2008,"PLoS ONE","RA","Altered Gene Expression in Early Atherosclerosis Is Blocked by Low Level Apolipoprotein E",1,1,2
"10.1371/journal.pone.0002504",06/18/08,2008,"PLoS ONE","RA","The ?Common Disease-Common Variant? Hypothesis and Familial Risks",5,0,4
"10.1371/journal.pone.0002505",06/18/08,2008,"PLoS ONE","RA","Associations between Burkitt Lymphoma among Children in Malawi and Infection with HIV, EBV and Malaria: Results from a Case-Control Study",2,0,2
